customer_id,credit_score,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,619,0.0,1,1,1.0,101348.88,1
15647311,608,83807.86,1,0,1.0,112542.58,0
15619304,502,159660.8,3,1,0.0,113931.57,1
15701354,699,0.0,2,0,0.0,93826.63,0
15737888,850,125510.82,1,1,1.0,79084.1,0
15574012,645,113755.78,2,1,0.0,149756.71,1
15592531,822,0.0,2,1,1.0,10062.8,0
15656148,376,115046.74,4,1,0.0,119346.88,1
15792365,501,142051.07,2,0,1.0,74940.5,0
15592389,684,134603.88,1,1,1.0,71725.73,0
15767821,528,102016.72,2,0,1.0,80181.12,0
15737173,497,0.0,2,1,0.0,76390.01,0
15632264,476,0.0,2,1,0.0,26260.98,0
15691483,549,0.0,2,0,0.0,190857.79,0
15600882,635,0.0,2,1,1.0,65951.65,0
15643966,616,143129.41,2,0,1.0,64327.26,0
15737452,653,132602.88,1,1,0.0,5097.67,1
15788218,549,0.0,2,1,1.0,14406.41,0
15661507,587,0.0,1,0,0.0,100162.82,0
15568982,726,0.0,2,1,1.0,54724.03,0
15577657,732,0.0,2,1,1.0,170886.17,0
15597945,636,0.0,2,1,1.0,138555.46,0
15699309,510,0.0,1,1,0.0,100162.82,1
15725737,669,0.0,2,0,1.0,8487.75,0
15625047,846,0.0,1,1,1.0,187616.16,0
15738191,577,0.0,2,0,1.0,124508.29,0
15736816,756,136815.64,1,1,1.0,170041.95,0
15700772,571,0.0,2,0,0.0,38433.35,0
15728693,574,141349.43,1,1,1.0,100187.43,0
15656300,411,59697.17,2,1,1.0,53483.21,0
15589475,591,0.0,3,1,0.0,100162.82,1
15706552,533,85311.7,1,0,1.0,156731.91,0
15750181,553,110112.54,2,0,0.0,81898.81,0
15659428,520,0.0,2,1,1.0,34410.55,0
15732963,722,0.0,2,1,1.0,142033.07,0
15794171,475,134264.04,1,1,0.0,27822.99,1
15788448,490,76555.61,1,0,1.0,114066.77,0
15729599,804,76548.6,1,0,1.0,98453.45,0
15717426,850,0.0,1,1,1.0,40812.9,0
15585768,582,70349.48,2,0,1.0,178074.04,0
15619360,472,0.0,1,1,0.0,70154.22,0
15738148,465,122522.32,1,0,0.0,181297.65,1
15687946,556,76555.61,1,1,1.0,94153.83,0
15755196,834,131394.56,1,0,1.0,194365.76,1
15684171,660,155931.11,1,1,1.0,158338.39,0
15754849,776,109421.13,2,1,1.0,126517.46,0
15602280,829,112045.67,1,1,1.0,100162.82,1
15771573,637,137843.8,1,1,1.0,117622.8,1
15766205,550,103391.38,1,0,1.0,90878.13,0
15771873,776,103769.22,2,1,0.0,194099.12,0
15616550,698,116363.37,2,1,0.0,198059.16,0
15768193,585,146050.97,2,0,0.0,86424.57,0
15683553,788,0.0,2,0,0.0,116978.19,0
15702298,655,125561.97,1,0,0.0,164040.94,1
15569590,601,98495.72,1,1,0.0,40014.76,1
15760861,619,125211.92,1,1,1.0,113410.49,0
15630053,656,127864.4,1,1,1.0,87107.57,0
15647091,725,75888.2,1,0,0.0,45613.75,0
15623944,511,0.0,1,1,0.0,1643.11,1
15804771,614,40685.92,1,1,1.0,100162.82,0
15651280,742,136857.0,1,0,0.0,84509.57,0
15773469,687,152328.88,2,0,0.0,126494.82,0
15702014,555,56084.69,2,0,0.0,178798.13,0
15751208,684,76555.61,1,1,1.0,99398.36,0
15592461,603,109166.37,1,1,1.0,92840.67,0
15789484,751,169831.46,2,1,1.0,27758.36,0
15696061,581,101633.04,1,1,0.0,110431.51,0
15641582,735,123180.01,2,1,1.0,196673.28,0
15638424,661,150725.53,2,0,1.0,113656.85,0
15755648,675,98373.26,1,1,1.0,18203.0,0
15703793,738,133745.44,4,1,0.0,28373.86,1
15620344,813,76555.61,1,1,0.0,33953.87,0
15812518,657,163607.18,1,0,1.0,44203.55,0
15779052,604,76555.61,2,1,1.0,100162.82,0
15770811,519,0.0,2,0,1.0,145562.4,0
15780961,735,178718.19,2,1,1.0,22388.0,0
15614049,664,76555.61,2,1,1.0,139161.64,0
15662085,678,0.0,1,1,1.0,100162.82,0
15575185,757,77253.22,1,0,1.0,194239.63,0
15803136,416,122189.66,2,1,0.0,98301.61,0
15706021,665,96645.54,2,0,1.0,171413.66,0
15663706,777,0.0,1,1,0.0,136458.19,1
15641732,543,0.0,2,0,0.0,26019.59,0
15701164,506,90307.62,1,1,1.0,159235.29,0
15738751,493,0.0,2,1,0.0,1907.66,0
15805254,652,0.0,2,1,1.0,114675.75,0
15762418,750,121681.82,1,1,1.0,128643.35,1
15625759,729,0.0,2,1,1.0,151869.35,0
15622897,646,0.0,3,1,0.0,93251.42,1
15767954,635,81623.67,2,1,1.0,156791.36,0
15757535,647,0.0,3,1,1.0,100162.82,1
15731511,808,118626.55,2,1,0.0,147132.46,0
15809248,524,0.0,2,1,0.0,109614.57,0
15640635,769,0.0,2,1,1.0,172290.61,0
15676966,730,0.0,2,0,1.0,85982.47,0
15699461,515,176273.95,1,0,1.0,121277.78,0
15738721,773,102827.44,1,0,1.0,100162.82,0
15693683,814,97086.4,2,1,1.0,197276.13,0
15604348,710,76555.61,2,0,1.0,100162.82,0
15633059,413,0.0,2,0,0.0,6534.18,0
15808582,665,0.0,1,1,1.0,161848.03,0
15743192,623,0.0,2,0,1.0,167162.43,0
15580146,738,82674.15,1,1,0.0,41970.72,0
15776605,528,76555.61,2,1,0.0,60536.56,0
15804919,670,0.0,1,1,1.0,177655.68,1
15613854,622,107073.27,2,1,1.0,30984.59,1
15599195,582,88938.62,1,1,1.0,10054.53,0
15812878,785,99806.85,1,0,1.0,36976.52,0
15602312,605,150092.8,1,0,0.0,71862.79,0
15744689,479,92833.89,1,1,0.0,100162.82,1
15803526,685,90536.81,1,0,1.0,63082.88,0
15665790,538,108055.1,2,1,0.0,27231.26,0
15715951,562,100238.35,1,0,0.0,86797.41,0
15591100,675,106190.55,1,0,1.0,22994.32,0
15609618,721,154475.54,2,0,1.0,100162.82,1
15675522,628,132351.29,2,1,1.0,74169.13,0
15705512,668,167864.4,1,1,0.0,115638.29,0
15698028,506,0.0,2,1,0.0,31766.3,0
15661670,524,107818.63,1,1,0.0,199725.39,1
15600781,699,185173.81,2,1,0.0,120834.48,0
15682472,828,129433.34,2,0,0.0,100162.82,0
15580203,674,76555.61,1,0,0.0,100130.95,0
15690673,656,0.0,2,1,0.0,141069.88,0
15760085,684,126384.42,1,1,1.0,198129.36,0
15779659,625,0.0,1,0,0.0,183646.41,0
15627360,432,152603.45,1,1,0.0,100162.82,1
15671137,549,0.0,1,0,1.0,8636.05,1
15782688,625,148507.24,1,1,0.0,46824.08,1
15575492,828,0.0,2,1,0.0,171378.77,0
15591607,770,101827.07,1,1,0.0,167256.35,0
15740404,758,0.0,2,1,1.0,124226.16,0
15718369,795,76555.61,1,1,1.0,114935.21,0
15677871,687,122570.87,1,1,1.0,35608.88,0
15642004,686,0.0,2,0,1.0,16459.37,0
15712543,789,76555.61,2,1,1.0,124411.08,0
15584518,589,144895.05,2,1,1.0,34941.23,0
15802381,461,63663.93,1,0,1.0,167784.28,0
15610156,637,133463.1,1,0,1.0,93165.34,0
15594408,584,213146.2,1,1,0.0,75161.25,1
15640905,579,129490.36,2,0,1.0,100162.82,1
15698932,756,137452.09,1,1,0.0,189543.9,0
15724944,663,0.0,2,1,1.0,180427.24,0
15628145,682,125851.93,1,1,1.0,193318.33,0
15713483,793,0.0,1,1,0.0,159123.82,1
15612350,691,40915.55,1,1,1.0,100162.82,1
15800703,485,113157.22,1,1,1.0,54141.5,0
15705707,635,138296.94,2,1,0.0,100162.82,0
15754105,650,106967.18,1,0,0.0,24495.03,0
15703264,735,120681.63,1,1,0.0,74836.34,0
15794413,416,76555.61,2,0,1.0,100162.82,0
15650237,754,76555.61,2,1,0.0,89520.75,0
15759618,535,0.0,1,1,0.0,149892.79,1
15811589,716,0.0,2,1,0.0,180800.42,0
15689044,539,127609.59,1,1,0.0,98646.22,0
15709368,614,76555.61,2,1,1.0,109041.53,0
15679145,706,0.0,1,1,0.0,17941.16,1
15655007,758,76555.61,2,0,0.0,82996.47,0
15623595,586,0.0,2,1,1.0,92067.35,0
15589975,646,97259.25,1,0,1.0,104719.66,0
15804017,631,76555.61,1,0,0.0,112687.57,0
15692132,717,101060.25,1,0,1.0,84699.56,0
15641122,684,0.0,2,1,0.0,100162.82,0
15630910,800,108007.36,1,0,0.0,47125.11,0
15680772,721,0.0,2,1,1.0,106977.8,0
15658929,683,133702.89,1,1,0.0,55582.54,1
15585388,660,125189.75,2,1,1.0,139874.43,0
15724623,704,113034.22,1,1,0.0,162503.48,1
15588537,615,109013.23,1,1,0.0,196499.96,0
15574692,667,0.0,2,1,0.0,100162.82,1
15611325,682,57929.81,2,0,1.0,53134.3,0
15587562,484,130114.39,1,1,0.0,164017.89,0
15613172,628,95826.49,2,1,0.0,155996.96,0
15651022,480,129608.57,1,1,0.0,5472.7,1
15586310,578,169462.09,1,1,1.0,112187.11,0
15625524,512,0.0,2,1,1.0,146457.83,0
15755209,484,133868.21,1,1,1.0,27286.1,0
15645248,510,0.0,2,1,1.0,130553.47,0
15790355,606,190479.48,2,0,0.0,100162.82,0
15762615,597,101993.12,1,0,1.0,94774.12,0
15625426,754,161608.81,1,1,0.0,8080.85,1
15716334,850,122311.21,1,1,1.0,19482.5,0
15789669,510,0.0,2,1,1.0,48071.61,0
15621075,778,162150.42,2,1,0.0,100162.82,0
15810845,636,76555.61,2,1,1.0,55470.78,0
15719377,804,76555.61,1,1,1.0,100162.82,1
15654506,514,0.0,2,1,1.0,95857.18,0
15771977,730,99010.67,1,1,0.0,194945.8,0
15708710,525,0.0,1,0,1.0,131521.72,0
15726676,616,0.0,2,0,1.0,196108.51,0
15587421,687,111388.18,2,1,0.0,148564.76,0
15726931,715,56214.85,2,0,1.0,92982.61,1
15771086,512,84327.77,2,1,0.0,17675.36,0
15756850,479,0.0,2,0,0.0,100162.82,0
15702741,601,93012.89,1,1,0.0,86957.42,0
15679200,580,61710.44,2,1,0.0,128077.8,0
15594815,807,76555.61,1,1,1.0,600.36,0
15635905,616,76555.61,2,1,1.0,43001.46,0
15777892,721,107720.64,1,1,1.0,158591.12,0
15656176,501,0.0,2,1,1.0,100162.82,0
15811127,521,96423.84,1,1,0.0,10488.44,0
15604482,850,76555.61,1,1,1.0,5978.2,0
15622911,759,105420.18,1,0,1.0,121409.06,0
15600974,516,76555.61,1,0,1.0,146145.93,1
15727868,711,129022.06,2,1,1.0,14374.86,1
15627801,512,176666.62,1,1,0.0,94670.77,0
15773039,550,0.0,1,1,1.0,179670.31,0
15755262,608,89763.84,1,0,0.0,100162.82,1
15679531,618,134954.53,1,1,1.0,151954.39,0
15684181,643,0.0,1,1,0.0,142513.5,1
15612087,671,106376.85,1,0,1.0,158264.62,0
15752047,689,161814.64,2,1,0.0,169381.9,0
15624592,603,76555.61,2,1,1.0,169915.02,0
15573152,620,0.0,2,0,0.0,88852.47,0
15594917,676,63095.01,1,1,1.0,40645.81,0
15785542,572,118287.01,2,0,0.0,60427.3,0
15723488,668,106854.21,1,0,1.0,157959.02,1
15680920,695,49512.55,1,1,0.0,133007.34,0
15786308,730,0.0,2,0,0.0,176576.62,0
15659366,807,105799.32,2,1,0.0,34888.04,1
15774854,592,0.0,1,1,1.0,28737.71,1
15725311,726,114722.05,2,1,1.0,98178.57,0
15787155,514,0.0,1,0,1.0,125010.24,0
15727829,567,0.0,2,1,1.0,100162.82,0
15733247,850,0.0,1,1,0.0,4861.72,1
15568748,671,99564.22,1,1,1.0,100162.82,1
15699029,670,170557.91,2,1,0.0,198252.88,0
15774393,694,76555.61,2,1,1.0,26960.31,0
15676895,547,74596.15,3,1,1.0,85746.52,1
15637753,751,96888.39,1,1,0.0,77206.25,1
15605461,594,130830.22,1,1,0.0,61048.53,0
15808473,673,0.0,2,0,1.0,111981.19,0
15627000,610,76555.61,2,1,0.0,62232.6,0
15787174,512,0.0,2,0,1.0,156105.03,0
15723886,767,119714.25,2,0,1.0,150135.38,0
15704769,585,113978.97,2,0,1.0,93146.11,0
15772896,763,100160.75,1,1,0.0,33462.94,1
15711540,712,0.0,1,1,1.0,144375.0,0
15764866,539,116220.5,3,1,0.0,55803.96,1
15794056,668,0.0,3,1,0.0,89048.46,1
15795149,703,76555.61,2,0,1.0,162812.16,0
15812009,662,0.0,2,1,0.0,136259.65,0
15651001,725,116803.8,1,1,0.0,100162.82,0
15813844,703,105961.68,2,0,1.0,74158.8,0
15596175,659,117411.6,1,1,1.0,45071.09,1
15576269,523,0.0,2,1,0.0,62030.06,0
15797219,635,123497.58,1,1,0.0,131953.23,1
15685500,772,152400.51,2,1,0.0,79414.0,0
15599792,545,0.0,2,1,1.0,199638.56,0
15657566,634,103097.85,1,1,1.0,157577.29,0
15772423,739,126418.14,1,1,0.0,134420.75,1
15628112,771,77846.9,1,0,0.0,100162.82,0
15753754,587,0.0,2,1,1.0,100162.82,0
15793726,681,0.0,2,0,1.0,170968.99,0
15694717,544,79731.91,1,1,1.0,100162.82,0
15665834,696,0.0,1,0,0.0,176713.47,0
15765297,766,0.0,2,0,1.0,34283.23,0
15636684,727,0.0,2,1,1.0,198637.34,0
15592979,671,76555.61,2,0,0.0,156917.12,0
15750803,693,127992.25,1,1,1.0,50457.2,0
15607178,850,76555.61,1,1,1.0,140075.55,0
15713853,732,108748.08,2,1,1.0,65323.11,0
15673481,726,99906.19,1,1,0.0,64323.24,0
15686776,557,184686.41,2,1,0.0,14956.44,0
15673693,682,110654.02,1,0,1.0,111879.21,0
15700696,738,79019.8,1,1,1.0,18606.23,0
15813163,531,99240.51,1,1,0.0,123137.01,0
15653857,498,76555.61,2,1,1.0,100162.82,0
15777076,651,0.0,2,1,0.0,13898.31,0
15717398,549,0.0,1,0,0.0,100162.82,1
15799217,791,52436.2,1,1,0.0,161051.75,0
15787071,650,0.0,2,0,1.0,191599.67,0
15619955,733,100337.96,3,1,0.0,48559.19,1
15796505,811,149297.19,2,1,1.0,100162.82,0
15725166,707,0.0,2,1,0.0,33159.37,0
15800116,712,145605.44,1,0,1.0,93883.53,0
15758685,706,0.0,2,1,1.0,110899.3,0
15694456,756,0.0,1,1,1.0,11199.04,1
15767339,777,0.0,2,1,1.0,189992.97,0
15683562,646,84026.86,1,0,1.0,164255.69,0
15782210,714,0.0,1,1,0.0,100162.82,1
15668893,782,0.0,2,1,1.0,33949.67,0
15669169,775,0.0,2,1,1.0,100162.82,0
15643024,479,138718.92,1,1,1.0,47251.79,1
15699389,807,118274.71,1,1,1.0,25885.72,0
15708608,799,174185.98,2,0,1.0,192633.85,0
15626144,675,113208.86,2,1,0.0,34577.36,0
15573112,602,103907.28,1,1,0.0,161229.84,0
15790678,475,119023.28,1,1,0.0,100816.29,0
15727556,744,166297.89,1,1,1.0,100162.82,0
15697307,588,0.0,2,1,0.0,79078.91,0
15652266,703,63227.0,1,0,1.0,137316.32,0
15607098,747,94521.17,2,1,0.0,194926.86,0
15655774,583,0.0,2,1,0.0,51285.49,0
15590241,750,112822.26,1,0,0.0,150401.53,1
15785819,681,0.0,2,1,1.0,112491.96,0
15723654,773,135903.33,1,1,1.0,73656.38,0
15774510,714,125169.26,1,1,1.0,106636.89,0
15684173,687,0.0,3,1,0.0,155853.52,1
15650068,511,149117.31,1,1,1.0,162599.51,0
15811490,627,0.0,2,1,1.0,103737.82,0
15803976,694,0.0,2,1,0.0,160990.27,0
15682541,616,132311.71,1,0,0.0,15462.84,0
15695699,687,0.0,2,1,0.0,10334.05,0
15624188,712,0.0,2,1,1.0,190686.16,0
15812191,553,118082.89,1,0,0.0,94440.45,0
15636673,667,119266.69,1,1,1.0,28257.63,0
15594898,731,0.0,1,1,1.0,170034.95,1
15660211,629,156847.29,2,1,0.0,31824.29,0
15773972,614,137104.47,1,1,0.0,127166.49,1
15746726,438,78398.69,1,1,0.0,44937.01,0
15712287,652,0.0,2,1,1.0,188603.07,0
15702919,729,63669.42,1,1,1.0,145111.37,0
15674398,642,0.0,2,0,1.0,171463.83,0
15797960,806,135296.33,1,1,0.0,182822.5,0
15631868,744,153804.44,1,1,1.0,87213.33,0
15581539,474,0.0,2,0,0.0,57175.32,0
15662736,559,147069.78,1,1,0.0,120540.83,1
15666252,706,0.0,2,1,1.0,28714.34,0
15677512,628,0.0,1,1,1.0,85426.28,0
15626114,429,76555.61,1,1,0.0,46170.75,0
15810834,525,145965.33,1,1,1.0,64448.36,0
15678910,680,141441.75,1,1,1.0,16278.97,0
15694408,749,139290.41,1,1,0.0,182855.42,1
15585215,763,0.0,2,0,0.0,50404.72,0
15682757,734,0.0,2,1,0.0,107640.25,0
15736601,716,144428.87,1,1,0.0,134132.65,0
15601848,594,0.0,2,1,0.0,103480.69,0
15736008,644,95441.27,1,1,1.0,108761.05,1
15669064,671,76555.61,1,1,1.0,179012.3,0
15624528,664,116244.14,2,1,1.0,95145.14,0
15598493,656,0.0,2,0,1.0,72143.44,0
15601274,667,146502.07,1,1,1.0,19162.89,0
15702669,663,117028.6,2,0,1.0,144680.18,0
15728669,584,112013.81,1,1,0.0,177772.03,1
15742668,626,108269.37,1,1,0.0,5597.94,0
15697441,485,182123.79,1,1,0.0,116828.51,1
15740476,659,150923.74,2,0,1.0,174652.51,0
15648064,649,0.0,2,1,0.0,2010.98,0
15636624,805,165272.13,1,1,0.0,14109.85,1
15807923,716,115301.31,1,1,0.0,43527.4,1
15745844,642,129502.49,2,0,1.0,86099.23,1
15786170,659,118342.26,1,0,0.0,161574.19,0
15681081,545,0.0,2,1,1.0,38970.14,0
15684484,543,0.0,2,0,0.0,127587.22,0
15785869,718,0.0,2,1,1.0,30380.12,0
15763859,840,76555.61,2,1,0.0,90908.95,0
15658935,630,106937.05,2,1,0.0,138275.01,0
15747358,643,76555.61,1,1,1.0,32171.79,0
15735203,654,114510.85,1,1,1.0,126143.23,0
15576256,582,76555.61,2,1,1.0,129892.93,0
15659420,659,107594.11,2,1,1.0,102416.84,0
15593365,762,81273.13,1,1,1.0,18719.67,0
15777352,568,169399.6,1,1,0.0,61936.22,0
15812007,670,0.0,2,1,1.0,78358.94,0
15625461,613,187841.99,2,1,1.0,147224.27,0
15739438,539,0.0,2,1,1.0,160979.66,0
15611759,850,126776.3,2,1,1.0,132298.49,0
15661629,522,126436.29,1,1,0.0,174248.52,1
15633950,737,76555.61,1,1,1.0,123547.28,0
15592386,520,0.0,2,0,1.0,32790.02,0
15803716,706,0.0,2,0,1.0,181543.67,0
15696674,643,150842.93,1,0,1.0,100162.82,1
15706365,648,102535.57,1,1,1.0,189543.19,0
15745088,443,99027.61,2,1,0.0,10940.4,0
15676715,640,0.0,2,1,1.0,199493.38,0
15613085,628,0.0,1,1,1.0,188193.25,0
15633537,540,87271.41,2,1,0.0,172572.64,0
15594720,460,102742.91,2,1,1.0,189339.6,0
15684042,636,40105.51,2,0,1.0,53512.16,0
15583303,593,152265.43,1,1,0.0,34004.44,0
15611579,801,141947.67,1,1,1.0,10598.29,0
15774696,640,106307.91,2,0,1.0,100162.82,0
15694506,611,107884.81,2,1,1.0,183487.98,0
15688074,802,125013.72,1,1,1.0,187658.09,0
15759537,717,58469.37,2,1,1.0,172459.39,0
15758449,769,0.0,1,0,1.0,21016.0,0
15583456,745,76555.61,3,1,1.0,122381.02,1
15667871,572,152390.26,1,1,0.0,128123.66,0
15677371,629,34013.63,1,1,1.0,19570.63,0
15629677,687,0.0,3,0,0.0,188150.6,1
15713578,483,0.0,2,1,1.0,111020.24,0
15591509,690,101583.11,2,1,0.0,123775.15,0
15568240,492,77168.87,2,0,1.0,146700.22,0
15622993,709,124695.72,2,1,0.0,145251.35,0
15689294,705,76555.61,1,1,0.0,82463.69,0
15720910,560,76555.61,1,1,1.0,15928.49,0
15721181,611,0.0,2,1,0.0,45886.33,0
15776433,730,0.0,2,1,1.0,186489.95,0
15748936,709,76555.61,2,0,1.0,162922.65,0
15717225,544,161525.96,2,1,0.0,100162.82,0
15685226,712,147199.07,1,1,1.0,84932.4,0
15785611,752,183102.29,1,1,1.0,71557.12,0
15573456,648,76555.61,2,1,0.0,77405.95,1
15684548,556,0.0,2,0,0.0,417.41,1
15620505,594,97378.54,1,1,1.0,71405.17,0
15807432,645,136925.09,2,0,1.0,153400.24,0
15584766,557,54503.55,1,1,1.0,100162.82,0
15612187,547,155726.85,1,1,0.0,67789.99,0
15762218,701,0.0,2,0,1.0,100162.82,0
15646372,616,135842.41,1,1,0.0,183840.51,1
15690452,605,63349.75,1,1,0.0,108887.44,0
15747795,593,129499.42,1,1,1.0,154071.27,0
15781589,751,0.0,2,0,1.0,179291.85,0
15732674,443,70438.01,2,0,1.0,56937.43,0
15642291,685,76555.61,2,1,1.0,112239.03,0
15692761,718,0.0,1,1,0.0,45909.87,0
15578045,538,141434.04,1,0,0.0,173779.25,1
15745354,611,0.0,2,1,0.0,125696.26,0
15701376,668,76555.61,2,1,1.0,159585.61,0
15691625,537,138306.34,1,1,0.0,106761.47,0
15566594,709,0.0,2,0,0.0,129590.18,0
15760431,850,0.0,2,1,1.0,80006.65,0
15686302,745,124328.84,1,1,1.0,140451.52,0
15801559,693,76555.61,3,1,1.0,187929.43,1
15810432,795,0.0,2,1,0.0,167155.36,0
15809616,626,0.0,2,0,0.0,191420.71,0
15720559,487,110368.03,1,0,0.0,11384.45,1
15695632,556,89588.35,1,1,1.0,94898.1,0
15659843,643,0.0,2,0,0.0,106781.59,0
15615624,605,0.0,2,0,0.0,159508.52,0
15810418,756,115924.89,1,1,0.0,93524.19,1
15716186,586,0.0,2,1,1.0,87168.46,0
15674551,535,111756.5,1,1,0.0,8128.32,1
15622834,678,0.0,1,1,0.0,125518.32,0
15566111,596,0.0,1,1,0.0,48963.59,0
15784597,648,76555.61,1,1,0.0,100162.82,0
15652883,492,124576.65,2,1,0.0,148584.61,0
15806964,702,80793.58,1,1,1.0,27474.81,0
15576313,486,71340.09,1,1,0.0,100162.82,0
15806467,568,99282.63,1,0,0.0,134600.94,1
15597602,619,137946.39,1,1,1.0,72467.99,1
15743040,724,127892.57,2,0,1.0,199645.45,0
15705521,548,101084.36,1,1,0.0,42749.85,0
15595039,545,114754.08,1,1,0.0,136050.44,1
15799384,683,76555.61,1,0,1.0,73564.44,0
15581197,762,99286.98,1,0,1.0,85578.63,0
15693737,627,76555.61,2,1,0.0,100162.82,0
15624623,516,104088.59,2,0,0.0,119666.0,0
15783501,800,168190.33,2,1,0.0,68052.08,0
