customer_id,country,gender,age,tenure
15634602,France,Female,42,2
15647311,Spain,Female,41,1
15619304,France,Female,42,8
15701354,France,Female,39,1
15737888,Spain,Female,43,2
15574012,Spain,Male,44,8
15592531,India,Male,50,7
15656148,Germany,Female,29,4
15792365,France,Male,44,4
15592389,France,Male,27,2
15767821,France,Male,31,6
15737173,Spain,Male,24,3
15632264,France,Female,34,10
15691483,France,Female,25,5
15600882,Spain,Female,35,7
15643966,India,Male,45,3
15737452,India,Male,38,1
15788218,Spain,Female,24,9
15661507,Spain,Male,45,6
15568982,France,Female,24,6
15577657,France,Male,41,8
15597945,India,Female,32,8
15699309,Spain,Female,38,4
15725737,India,Male,46,3
15625047,France,Female,38,5
15738191,France,Male,25,3
15736816,Germany,Male,36,2
15700772,France,Male,44,9
15728693,Germany,Female,43,3
15656300,France,Male,29,0
15589475,India,Female,39,3
15706552,France,Male,38,7
15750181,Germany,Male,41,9
15659428,Spain,Female,42,6
15732963,Spain,Male,29,9
15794171,France,Female,45,0
15788448,Spain,Male,31,3
15729599,Spain,Male,33,7
15717426,France,Male,38,7
15585768,India,Male,38,6
15619360,Spain,Male,40,4
15738148,France,Female,38,8
15687946,France,Female,61,2
15755196,France,Female,49,2
15684171,Spain,Male,61,5
15754849,Germany,Female,32,4
15602280,Germany,Female,27,9
15771573,India,Female,39,9
15766205,Germany,Male,38,2
15771873,Germany,Female,37,2
15616550,Germany,Male,44,10
15768193,Germany,Male,36,5
15683553,France,Female,33,5
15702298,Germany,Male,41,8
15569590,Germany,Male,38,1
15760861,France,Male,43,1
15630053,France,Male,45,5
15647091,Germany,Male,38,0
15623944,Spain,Female,66,4
15804771,France,Male,51,4
15651280,Germany,Male,35,5
15773469,India,Female,38,9
15702014,Spain,Male,33,1
15751208,Spain,Male,38,8
15592461,Germany,Male,26,4
15789484,Germany,Female,38,6
15696061,Germany,Female,34,1
15641582,Germany,Male,43,10
15638424,Germany,Female,35,5
15755648,France,Female,21,8
15703793,Germany,Male,58,2
15620344,France,Male,29,6
15812518,Spain,Female,37,0
15779052,Germany,Female,25,5
15770811,France,Male,36,9
15780961,France,Female,21,1
15614049,France,Male,55,8
15662085,France,Female,32,9
15575185,India,Male,33,5
15803136,Germany,Female,41,10
15706021,France,Female,34,1
15663706,France,Female,32,2
15641732,France,Female,36,3
15701164,France,Female,34,4
15738751,India,Male,46,4
15805254,Spain,Female,75,10
15762418,Spain,Male,22,3
15625759,France,Male,30,9
15622897,France,Female,46,4
15767954,Germany,Female,28,3
15757535,Spain,Female,44,5
15731511,France,Male,45,7
15809248,France,Female,36,10
15640635,France,Male,29,8
15676966,Spain,Male,42,4
15699461,Spain,Male,35,10
15738721,Spain,Male,41,9
15693683,Germany,Male,38,8
15604348,Spain,Male,22,8
15633059,France,Male,34,9
15808582,France,Female,40,6
15743192,France,Male,44,6
15580146,France,Male,31,9
